timestamp,timestamp exit,arm,lane,Occupancy North,Occupancy South,Sense North,Sense South,total_occupancy
2017-12-29T15:27:08.425954,2017-12-29T15:41:06.370054,A0:E6:F8:2B:32:A5,BB_SP_1.2,0.966,836.9781,2036,554,837.9441
2017-12-29T15:20:35.775257,2017-12-29T15:36:45.994157,A0:E6:F8:2C:D0:F3,BB_SP_4.2,970.2189,0.0,297,5,970.2189
2017-12-29T15:25:16.093698,2017-12-29T15:35:54.502098,A0:E6:F8:2B:32:91,BB_SP_2.2,0.0,638.4084,58,1994,638.4084
2017-12-29T15:05:57.467534,2017-12-29T15:26:56.134034,A0:E6:F8:2B:32:A5,BB_SP_1.2,1258.6665,0.0,992,48,1258.6665
2017-12-29T15:18:48.902339,2017-12-29T15:25:12.318239,A0:E6:F8:2B:32:91,BB_SP_2.2,0.21,383.2059,223,1996,383.4159
2017-12-29T15:04:39.538656,2017-12-29T15:18:41.968356,A0:E6:F8:2B:32:91,BB_SP_2.2,0.0,842.4297,87,1824,842.4297
2017-12-29T15:10:12.518315,2017-12-29T15:17:00.518915,A0:E6:F8:2C:D0:F3,BB_SP_4.2,2.0517,405.9489,1656,1033,408.0006
2017-12-29T15:03:59.293663,2017-12-29T15:09:45.585763,A0:E6:F8:2B:2F:BE,BB_SP_4.1,346.2921,0.0,716,0,346.2921
2017-12-29T15:02:46.315608,2017-12-29T15:05:22.326708,A0:E6:F8:2B:32:A5,BB_SP_1.2,156.0111,0.0,278,103,156.0111
2017-12-29T14:51:12.648423,2017-12-29T15:02:28.100823,A0:E6:F8:2B:32:A5,BB_SP_1.2,675.4524,0.0,760,84,675.4524
2017-12-29T14:50:24.360672,2017-12-29T14:58:09.258672,A0:E6:F8:2C:D0:F3,BB_SP_4.2,1.491,463.407,394,1843,464.898
2017-12-29T14:50:35.268735,2017-12-29T14:58:10.019535,A0:E6:F8:2B:2F:BE,BB_SP_4.1,0.0,454.7508,0,243,454.7508
2017-12-29T14:17:35.846964,2017-12-29T14:57:50.456364,A0:E6:F8:2C:D2:CD,BB_SP_7.1,0.0,2414.6094,0,1154,2414.6094
2017-12-29T14:17:40.390763,2017-12-29T14:56:57.844463,A0:E6:F8:2C:D0:CD,BB_SP_7.2,0.0,2357.4537,0,872,2357.4537
2017-12-29T14:45:24.886165,2017-12-29T14:51:08.305465,A0:E6:F8:2C:D2:A5,BB_SP_1.1,343.4193,0.0,862,0,343.4193
2017-12-29T14:24:41.503831,2017-12-29T14:49:37.592131,A0:E6:F8:2B:32:91,BB_SP_2.2,0.0,1496.0883,0,1499,1496.0883
2017-12-29T14:41:48.064002,2017-12-29T14:46:54.561102,A0:E6:F8:2C:D2:9E,BB_SP_5.1,306.4971,0.0,522,52,306.4971
2017-12-29T14:43:30.460340,2017-12-29T14:45:23.093840,A0:E6:F8:2B:32:A5,BB_SP_1.2,112.6335,0.0,466,0,112.6335
2017-12-29T14:09:03.105726,2017-12-29T14:43:08.029026,A0:E6:F8:2B:32:A5,BB_SP_1.2,0.0,2044.9233,0,529,2044.9233
2017-12-29T14:33:08.024288,2017-12-29T14:41:07.483688,A0:E6:F8:2C:C4:55,BB_SP_3.2,0.0,479.4594,0,806,479.4594
2017-12-29T14:16:02.458616,2017-12-29T14:29:30.263516,A0:E6:F8:2C:D0:E1,BB_SP_9.2,0.0,807.8049,0,1359,807.8049
2017-12-29T14:16:22.011873,2017-12-29T14:24:37.011273,A0:E6:F8:2B:32:91,BB_SP_2.2,0.1911,494.8083,261,2006,494.9994
2017-12-29T14:16:19.902801,2017-12-29T14:24:26.363601,A0:E6:F8:2B:2F:D0,BB_SP_2.1,483.4011,3.0597,705,1119,486.4608
2017-12-29T14:00:50.025515,2017-12-29T14:21:12.643415,A0:E6:F8:2C:C4:55,BB_SP_3.2,0.0,1222.6179,0,1944,1222.6179
2017-12-29T14:09:53.470951,2017-12-29T14:17:00.205651,A0:E6:F8:2C:D0:D5,BB_SP_5.2,11.4555,415.2792,2188,1884,426.7347
2017-12-29T13:15:48.500218,2017-12-29T14:15:52.681918,A0:E6:F8:2B:32:91,BB_SP_2.2,0.861,3603.3207,1590,2023,3604.1817
2017-12-29T14:13:07.751673,2017-12-29T14:16:02.030673,A0:E6:F8:2C:D0:E1,BB_SP_9.2,0.0,174.279,0,215,174.279
2017-12-29T14:07:02.155430,2017-12-29T14:13:09.168230,A0:E6:F8:2C:D0:E1,BB_SP_9.2,0.0,367.0128,0,303,367.0128
2017-12-29T13:13:16.187787,2017-12-29T14:11:58.080987,A0:E6:F8:2B:2F:BE,BB_SP_4.1,496.8348,3025.0584,2348,1547,3521.8932
2017-12-29T14:02:50.808093,2017-12-29T14:09:18.335793,A0:E6:F8:2C:C4:4D,BB_SP_6.2,0.0,387.5277,48,1785,387.5277
2017-12-29T13:59:39.965333,2017-12-29T14:08:37.708133,A0:E6:F8:2B:32:A5,BB_SP_1.2,0.0,537.7428,0,526,537.7428
2017-12-29T13:58:35.130120,2017-12-29T14:08:36.488220,A0:E6:F8:2C:D2:A5,BB_SP_1.1,597.24,4.1181,2248,1210,601.3581
2017-12-29T13:57:34.609551,2017-12-29T13:58:37.897251,A0:E6:F8:2B:32:A5,BB_SP_1.2,63.2877,0.0,1771,0,63.2877
2017-12-29T13:34:01.196988,2017-12-29T13:57:15.804888,A0:E6:F8:2B:32:A5,BB_SP_1.2,1392.7032,1.9047,2491,526,1394.6079
2017-12-29T13:37:26.698851,2017-12-29T13:53:07.156551,A0:E6:F8:2C:C4:4D,BB_SP_6.2,0.0,940.4577,96,1312,940.4577
2017-12-29T13:36:10.787180,2017-12-29T13:48:50.926280,A0:E6:F8:2C:C4:55,BB_SP_3.2,0.5628,759.5763,961,1936,760.1391
